Average_Mileage,BEA_origin,BEA_dest,Population_origin,Population_dest,log_carloads,Agriculture_forestry_fishing_and_hunting_origin,Construction_origin,Manufacturing_origin,Natural_Resources_origin,Retail_trade_origin,Services_origin,Transportation_and_warehousing_origin,Utilities_origin,Wholesale_trade_origin,Agriculture_forestry_fishing_and_hunting_dest,Construction_dest,Manufacturing_dest,Natural_Resources_dest,Retail_trade_dest,Services_dest,Transportation_and_warehousing_dest,Utilities_dest,Wholesale_trade_dest
3.912023005428146,10,10,19.351992,19.351992,9.34175101740523,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028
4.5224301491482946,10,11,19.351992,1.180018,0.0,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,12.964614230854782,14.639138921485388,15.960723103150665,13.469598909948315,15.011989755218398,17.681543948022814,15.075681448496482,14.362698583030253,14.962123810576337
5.267320968832013,10,13,19.351992,7.876217,4.382026634673881,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.858480005056853,16.283883950237684,16.5590026105378,14.454767390499837,16.51461345101772,19.22212834640772,15.451720675234636,14.869492916675533,16.156603898830017
5.79380231958521,10,20,19.351992,0.574519,0.0,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,12.366387147061038,12.335349374897772,13.106217735179646,12.408445981585915,13.003633894007548,15.045784534113755,11.649368863586776,13.699182338549372,11.474111868933527
6.568713891898997,10,28,19.351992,0.66543,6.633371063474331,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.03278653059117,14.216492967106955,15.372598407301096,13.062362810824911,14.712705316803305,17.034979966626754,14.022744215454445,13.78473583679283,14.127712057278936
6.734454264505695,10,29,19.351992,1.953945,9.586042937089065,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.755225378530755,15.128870719328479,15.767089892491208,14.122588557373804,15.761101513225524,18.138562723414477,15.051841253134336,14.25478432454479,15.460335884300497
6.943498951811876,10,31,19.351992,2.224587,7.922982335516226,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.866451740367676,15.372820301284097,15.162424333151911,13.95214849527828,16.001431039632212,18.258126107934768,15.077447318260626,14.078405450854369,16.22913582676677
6.52855653357794,10,40,19.351992,5.455766,9.899479531138589,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,14.574875162016177,16.53542549390219,17.450642207844435,14.953717528312257,16.888831499729385,19.446745916568638,16.675956185050904,15.005897389492848,17.2019665506281
5.949249050036378,10,48,19.351992,1.266621,0.0,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,11.678346678763534,14.509046163077635,15.722742246820596,15.756034944086064,14.98179395608775,17.13579285153973,14.006998309874472,14.963436048596872,14.279076006530564
5.979444980878385,10,51,19.351992,2.564213,5.298317366548036,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.689243005374395,15.350426197049147,16.615535199655632,14.948594158186298,16.04914613567433,18.474851833512353,15.558078032299745,14.051213311293653,15.9128435881519
5.492364319308474,10,53,19.351992,2.125631,6.38896468556185,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,12.207881009454075,15.63262128461718,16.609290771014017,16.862781595775623,16.139161499662116,18.626198843562676,15.757208993047946,15.143891867635691,16.1474295735474
5.784543051679687,10,55,19.351992,4.023464,10.899465605864695,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.916357201412044,15.806575290876651,17.43430713603779,15.373149363898916,16.46800879537074,18.86944990292885,15.446927942334382,14.405282473174523,16.462754783306416
6.129954910146925,10,56,19.351992,1.049409,7.440475458083338,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,14.413213449727685,14.484950939859587,16.818570965038802,14.599581037293968,15.151846785604048,17.32593668403126,14.615680422015402,13.85540604340752,14.867369756218627
6.113321666356183,10,57,19.351992,4.606552,10.332681882493524,13.757696046586458,17.625128520463743,18.418474431834785,15.472060656120492,18.20300157317971,20.792772075704498,17.605181415221374,16.486786948470577,18.203063904691028,13.977580936878276,16.062021789954738,17.866492574809122,14.46534201223792,16.83180815808148,19.272382551285386,15.989002850336792,15.079306439426107,16.677345429063173
